"fipsstate","fipscounty","countyname","countypop_2010","CBSAcode_2010","CBSAname_2010","CBSApop_2010","CBSAhhi_2010","CBSAhhico_2010","CBSAhhipl_2010","CBSAplcount_2010","CBSAplby10000_2010","CBSApcpop_2010","CBSApcprop_2010","CBSAzb_2010","COplcount_2010","COplby10000_2010","countypop_1950","CBSAcode_1950","CBSAname_1950","CBSApop_1950","CBSAhhi_1950","CBSAhhico_1950","CBSAhhipl_1950","CBSAplcount_1950","CBSAplby10000_1950","countypop_1980","CBSAcode_1980","CBSAname_1980","CBSApop_1980","CBSAhhi_1980","CBSAhhico_1980","CBSAhhipl_1980","CBSAplcount_1980","CBSAplby10000_1980","COplcount_1980","COplby10000_1980","fips","Deltahhi30y_2010","Deltahhi30y_1980","DeltaCOplcount30y_2010","DeltaCOplby1000030y_2010","DeltaCBSAplcount30y_1980","DeltaCBSAplby1000030y_1980","DeltaCBSAplcount30y_2010","DeltaCBSAplby1000030y_2010","id"
"01","001","Autauga County",54571,33860,"Montgomery, AL",374536,0.754083118684136,0.558003679434546,0.687673502610161,19,0.507294358886729,205764,0.549383770852468,0.923387959021014,4,0.732990049660076,18186,NA,NA,NA,NA,NA,NA,NA,NA,32259,"5240","Montgomery, AL",272687,0.685619489850047,0.438564830208309,0.569181134248067,9,0.330048737196859,3,0.929973030782107,"01001",0.0684636288340887,NA,1,-0.196982981122031,NA,NA,10,0.17724562168987,"01001"
"01","003","Baldwin County",182265,19300,"Daphne-Fairhope-Foley, AL",182265,0.545330717337227,0,0.964356596117514,14,0.7681123638658,51514,0.282632430801306,2.71770780758629,14,0.7681123638658,40997,NA,NA,NA,NA,NA,NA,NA,NA,78556,"5160","Mobile, AL",443536,0.669508715030481,0.291487995015435,0.786138059062638,20,0.450921683921936,10,1.27297723916696,"01003",-0.124177997693254,NA,4,-0.504864875301164,NA,NA,-6,0.317190679943863,"01003"
"01","005","Barbour County",27457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.18523509487562,28892,NA,NA,NA,NA,NA,NA,NA,NA,24756,NA,NA,NA,NA,NA,NA,NA,NA,5,2.01971239295524,"01005",NA,NA,1,0.165522701920381,NA,NA,NA,NA,"01005"
"01","007","Bibb County",22915,13820,"Birmingham-Hoover, AL",1128047,0.852681726409188,0.615846796614902,0.953299606284194,91,0.806703975986816,293856,0.2604997841402,3.09675487313514,5,2.18197687104517,17987,NA,NA,NA,NA,NA,NA,NA,NA,15723,NA,NA,NA,NA,NA,NA,NA,NA,3,1.90803281816447,"01007",NA,NA,2,0.273944052880694,NA,NA,NA,NA,"01007"
"01","009","Blount County",57322,13820,"Birmingham-Hoover, AL",1128047,0.852681726409188,0.615846796614902,0.953299606284194,91,0.806703975986816,293856,0.2604997841402,3.09675487313514,15,2.61679634346324,28975,NA,NA,NA,NA,NA,NA,NA,NA,36459,NA,NA,NA,NA,NA,NA,NA,NA,10,2.74280698867221,"01009",NA,NA,5,-0.126010645208964,NA,NA,NA,NA,"01009"
"01","011","Bullock County",10914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.83250870441635,16054,NA,NA,NA,NA,NA,NA,NA,NA,10596,NA,NA,NA,NA,NA,NA,NA,NA,2,1.8875047187618,"01011",NA,NA,0,-0.0549960143454509,NA,NA,NA,NA,"01011"
"01","013","Butler County",20947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.43218599322099,29228,NA,NA,NA,NA,NA,NA,NA,NA,21680,NA,NA,NA,NA,NA,NA,NA,NA,3,1.38376383763838,"01013",NA,NA,0,0.0484221555826099,NA,NA,NA,NA,"01013"
"01","015","Calhoun County",118572,11500,"Anniston-Oxford-Jacksonville, AL",118572,0.612678761244538,0,0.908996186781501,9,0.759032486590426,57002,0.480737442229194,1.57889196870285,9,0.759032486590426,79539,NA,NA,NA,NA,NA,NA,NA,NA,119761,"0450","Anniston, AL",119761,0.516704240823485,0,0.924205837519338,8,0.66799709421264,8,0.66799709421264,"01015",0.0959745204210538,NA,1,0.091035392377786,NA,NA,1,0.091035392377786,"01015"
"01","017","Chambers County",34215,46740,"Valley, AL",34215,0.543553681790923,0,0.879029871217135,6,1.75361683472161,9524,0.278357445564811,6.29987400251995,6,1.75361683472161,39528,NA,NA,NA,NA,NA,NA,NA,NA,39191,NA,NA,NA,NA,NA,NA,NA,NA,4,1.02064249445026,"01017",NA,NA,2,0.732974340271357,NA,NA,NA,NA,"01017"
"01","019","Cherokee County",25989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.30866905229135,17634,NA,NA,NA,NA,NA,NA,NA,NA,18760,NA,NA,NA,NA,NA,NA,NA,NA,4,2.13219616204691,"01019",NA,NA,2,0.176472890244446,NA,NA,NA,NA,"01019"
"01","021","Chilton County",43643,13820,"Birmingham-Hoover, AL",1128047,0.852681726409188,0.615846796614902,0.953299606284194,91,0.806703975986816,293856,0.2604997841402,3.09675487313514,5,1.14565909767889,26922,NA,NA,NA,NA,NA,NA,NA,NA,30612,NA,NA,NA,NA,NA,NA,NA,NA,4,1.30667712008363,"01021",NA,NA,1,-0.161018022404733,NA,NA,NA,NA,"01021"
"01","023","Choctaw County",13859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.05086947110181,19152,NA,NA,NA,NA,NA,NA,NA,NA,16839,NA,NA,NA,NA,NA,NA,NA,NA,6,3.56315695706396,"01023",NA,NA,1,1.48771251403785,NA,NA,NA,NA,"01023"
"01","025","Clarke County",25833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.93550884527542,26548,NA,NA,NA,NA,NA,NA,NA,NA,27702,NA,NA,NA,NA,NA,NA,NA,NA,5,1.80492383221428,"01025",NA,NA,0,0.130585013061142,NA,NA,NA,NA,"01025"
"01","027","Clay County",13932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.43554407120299,13929,NA,NA,NA,NA,NA,NA,NA,NA,13703,NA,NA,NA,NA,NA,NA,NA,NA,2,1.45953440852368,"01027",NA,NA,0,-0.0239903373206947,NA,NA,NA,NA,"01027"
"01","029","Cleburne County",14972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.67165375367352,11904,NA,NA,NA,NA,NA,NA,NA,NA,12595,NA,NA,NA,NA,NA,NA,NA,NA,4,3.17586343787217,"01029",NA,NA,0,-0.504209684198647,NA,NA,NA,NA,"01029"
"01","031","Coffee County",49948,21460,"Enterprise, AL",49948,0.523077785577596,0,0.710330456656423,4,0.800832866180828,26562,0.531793064787379,1.50591069949552,4,0.800832866180828,30720,NA,NA,NA,NA,NA,NA,NA,NA,38533,NA,NA,NA,NA,NA,NA,NA,NA,4,1.03807126359225,"01031",NA,NA,0,-0.237238397411418,NA,NA,NA,NA,"01031"
"01","033","Colbert County",54428,22520,"Florence-Muscle Shoals, AL",147137,0.731881376817426,0.466155137124399,0.913265421365152,13,0.883530315284395,52465,0.35657244608766,2.47784237110455,6,1.1023737782024,39561,NA,NA,NA,NA,NA,NA,NA,NA,54519,"2650","Florence, AL",135065,0.747144239893477,0.481433391381354,0.907661926108376,13,0.962499537259838,6,1.10053375887305,"01033",-0.0152628630760517,NA,0,0.00184001932934241,NA,NA,0,-0.078969221975443,"01033"
"01","035","Conecuh County",13228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.2679165406713,21776,NA,NA,NA,NA,NA,NA,NA,NA,15884,NA,NA,NA,NA,NA,NA,NA,NA,3,1.8886930244271,"01035",NA,NA,0,0.379223516244207,NA,NA,NA,NA,"01035"
"01","037","Coosa County",11539,45180,"Talladega-Sylacauga, AL",93830,0.613678134940437,0.215708409324239,0.945611880661225,12,1.2789086646062,28425,0.302941489928594,4.22163588390501,3,2.59987867232862,11766,NA,NA,NA,NA,NA,NA,NA,NA,11377,NA,NA,NA,NA,NA,NA,NA,NA,2,1.75793267117869,"01037",NA,NA,1,0.84194600114993,NA,NA,NA,NA,"01037"
"01","039","Covington County",37765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3.70713623725672,40373,NA,NA,NA,NA,NA,NA,NA,NA,36850,NA,NA,NA,NA,NA,NA,NA,NA,14,3.79918588873813,"01039",NA,NA,0,-0.0920496514814086,NA,NA,NA,NA,"01039"
"01","041","Crenshaw County",13906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.3146843089314,18981,NA,NA,NA,NA,NA,NA,NA,NA,14110,NA,NA,NA,NA,NA,NA,NA,NA,6,4.25230333097094,"01041",NA,NA,0,0.0623809779604541,NA,NA,NA,NA,"01041"
"01","043","Cullman County",80406,18980,"Cullman, AL",80406,0.465755200444188,0,0.953650263126953,11,1.36805711016591,14775,0.183754943660921,7.44500846023689,11,1.36805711016591,49046,NA,NA,NA,NA,NA,NA,NA,NA,61642,NA,NA,NA,NA,NA,NA,NA,NA,9,1.4600434768502,"01043",NA,NA,2,-0.0919863666842913,NA,NA,NA,NA,"01043"
"01","045","Dale County",50251,37120,"Ozark, AL",50251,0.556494873594912,0,0.895386451529907,10,1.99001014905176,14907,0.296650812919146,6.70825786543235,10,1.99001014905176,20828,NA,NA,NA,NA,NA,NA,NA,NA,47821,NA,NA,NA,NA,NA,NA,NA,NA,10,2.09113151126074,"01045",NA,NA,0,-0.101121362208983,NA,NA,NA,NA,"01045"
"01","047","Dallas County",43820,42820,"Selma, AL",43820,0.499897336398053,0,0.767203769788902,3,0.684618895481515,20756,0.473664993153811,1.44536519560609,3,0.684618895481515,56270,NA,NA,NA,NA,NA,NA,NA,NA,53981,NA,NA,NA,NA,NA,NA,NA,NA,2,0.370500731738945,"01047",NA,NA,1,0.31411816374257,NA,NA,NA,NA,"01047"
"01","049","DeKalb County",71109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.10943762392946,45048,NA,NA,NA,NA,NA,NA,NA,NA,53658,NA,NA,NA,NA,NA,NA,NA,NA,15,2.79548250027955,"01049",NA,NA,0,-0.686044876350088,NA,NA,NA,NA,"01049"
"01","051","Elmore County",79303,33860,"Montgomery, AL",374536,0.754083118684136,0.558003679434546,0.687673502610161,19,0.507294358886729,205764,0.549383770852468,0.923387959021014,6,0.75659180611074,31649,NA,NA,NA,NA,NA,NA,NA,NA,43390,"5240","Montgomery, AL",272687,0.685619489850047,0.438564830208309,0.569181134248067,9,0.330048737196859,5,1.15233924867481,"01051",0.0684636288340887,NA,1,-0.39574744256407,NA,NA,10,0.17724562168987,"01051"
"01","053","Escambia County",38319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.56580286541924,31443,NA,NA,NA,NA,NA,NA,NA,NA,38440,NA,NA,NA,NA,NA,NA,NA,NA,6,1.56087408949011,"01053",NA,NA,0,0.00492877592912944,NA,NA,NA,NA,"01053"
"01","055","Etowah County",104430,23460,"Gadsden, AL",104430,0.586642326128193,0,0.853235130615945,9,0.861821315713875,36856,0.352925404577229,2.44193618406772,9,0.861821315713875,93892,"2880","Gadsden, AL",93892,0.536941697684284,0,0.640827359676386,6,0.639032079410386,103057,"2880","Gadsden, AL",103057,0.601315184198621,0,0.772149902924387,12,1.16440416468556,12,1.16440416468556,"01055",-0.0146728580704278,0.0643734865143368,-3,-0.302582848971687,6,0.525372085275176,-3,-0.302582848971687,"01055"
"01","057","Fayette County",17241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.48007656168436,19388,NA,NA,NA,NA,NA,NA,NA,NA,18809,NA,NA,NA,NA,NA,NA,NA,NA,4,2.1266415014089,"01057",NA,NA,2,1.35343506027546,NA,NA,NA,NA,"01057"
